id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v1,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted
110000,北京市,2001,4.0479922,8.59025,10.39499,302,110000,Beijing,8.5436325,4.0082402,10.353004,8.5542984,2,1,21,1,1,17,1.1446145,1.6082125,1.0659446
110000,北京市,2002,4.1236949,8.703207,10.496782,673,110000,Beijing,8.6032124,4.0895915,10.403508,8.6141119,2,1,21,1,1,17,1.141452,1.5911901,1.0653286
110000,北京市,2003,4.1992979,8.8160467,10.598471,1044,110000,Beijing,8.6945238,4.1515942,10.464334,8.7051096,2,1,21,1,1,17,1.1383731,1.5749797,1.0647277
110000,北京市,2004,4.2746172,8.9284039,10.699715,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,2,1,21,1,1,17,1.1353779,1.5595675,1.0641305
110000,北京市,2005,4.3493485,9.039608,10.799843,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,2,1,21,1,1,17,1.1324576,1.5449351,1.0635276
110000,北京市,2006,4.4232297,9.1486406,10.897861,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,2,1,21,1,1,17,1.1295828,1.5310353,1.062921
110000,北京市,2007,4.495986,9.2544594,10.992765,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,2,1,21,1,1,17,1.1267331,1.5178372,1.0623209
110000,北京市,2008,4.5672503,9.3561277,11.083672,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,2,1,21,1,1,17,1.1238997,1.5053217,1.0617377
110000,北京市,2009,4.6365471,9.4528189,11.169799,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,2,1,21,1,1,17,1.1210783,1.4934735,1.0611663
110000,北京市,2010,4.703423,9.5438776,11.250542,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,2,1,21,1,1,17,1.1182724,1.4822842,1.0606096
110000,北京市,2011,4.7674356,9.6288528,11.325521,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,2,1,21,1,1,17,1.1154939,1.4717519,1.0600728
110000,北京市,2012,4.8282328,9.7075949,11.394634,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,2,1,21,1,1,17,1.1127566,1.4618666,1.0595578
110000,北京市,2013,4.8856668,9.7803831,11.458195,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,2,1,21,1,1,17,1.1100807,1.4526104,1.0590671
110000,北京市,2014,4.9398799,9.8479748,11.516986,5125,110000,Beijing,9.871994,4.984848,11.536798,9.879509,2,1,21,1,1,17,1.1074966,1.4439667,1.0586025
110000,北京市,2015,4.9912801,9.9112167,11.57184,5496,110000,Beijing,9.9071741,5.0353055,11.561064,9.9148035,2,1,21,1,1,17,1.1050123,1.4358777,1.0581645
110000,北京市,2016,5.0403876,9.9710169,11.623637,5867,110000,Beijing,9.9485674,5.0632181,11.599051,9.9560957,2,1,21,1,1,17,1.102621,1.4282616,1.0577449
110000,北京市,2017,5.087832,10.028271,11.673232,6238,110000,Beijing,9.9861507,5.0230174,11.618679,9.9931173,2,1,21,1,1,17,1.1003088,1.4210305,1.0573356
110000,北京市,2018,5.1343012,10.083819,11.721417,6609,110000,Beijing,10.026331,5.0538492,11.649254,10.033233,2,1,21,1,1,17,1.0980629,1.4141062,1.056933
110000,北京市,2019,5.1803198,10.138396,11.768849,6980,110000,Beijing,10.053488,5.1012173,11.689371,10.060531,2,1,21,1,1,17,1.0958682,1.4074165,1.0565361
110000,北京市,2020,5.226212,10.192595,11.816004,7351,110000,Beijing,10.040947,5.1756916,11.7051,10.048627,2,1,21,1,1,17,1.0937092,1.4008961,1.0561473
