v1,city_id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v8,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,lg101214,urban_population,total_population,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,agri_gdp,nonagri_gdp,non_agri_share,agri_gdp_empgr,nonagri_gdp_empgr,ln_total_population,urban_pop_percent
0,110000,北京市,2001,4.0479922,8.59025,10.39499,302,110000,Beijing,8.5436325,4.0082402,10.353004,8.5542984,2,1,23,1,1,17,1.1398641,1.5618634,1.0635327,9.0482855,9585238,12167678,11.31,34.330002,54.360001,-.49000001,88.690002,.38999999,55.049911,5133.9595,.98939103,-26.974457,2002.2441,16.314293,.78776228
1,110000,北京市,2002,4.1236949,8.703207,10.496782,673,110000,Beijing,8.6032124,4.0895915,10.403508,8.6141119,2,1,23,1,1,17,1.1367551,1.5462554,1.0629635,9.0451679,9589720,12224170,9.9499998,34.650002,55.400002,-1.36,90.050003,1.36,59.715492,5449.1362,.98916006,-81.213074,7410.8252,16.318926,.78448844
2,110000,北京市,2003,4.1992979,8.8160467,10.598471,1044,110000,Beijing,8.6945238,4.1515942,10.464334,8.7051096,2,1,23,1,1,17,1.1337268,1.5313734,1.0624073,9.0389614,11372941,14036065,8.9200001,32.099998,58.98,-1.03,91.080002,1.03,63.535206,5970.1289,.98946989,-65.441261,6149.2324,16.45714,.8102656
3,110000,北京市,2004,4.2746172,8.9284039,10.699715,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,2,1,23,1,1,17,1.1307786,1.5172045,1.0618533,9.0357065,11579828,14170503,7.1999998,27.26,65.540001,-1.72,92.800003,1.72,73.055901,6564.625,.98899376,-125.65615,11291.155,16.466673,.81717831
4,110000,北京市,2005,4.3493485,9.039608,10.799843,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,2,1,23,1,1,17,1.1278995,1.5037297,1.0612912,9.0289965,11655225,14251875,7.0900002,26.32,66.589996,-.11,92.910004,.11,77.056152,8346.4102,.99085218,-8.4761763,918.1051,16.472399,.81780291
5,110000,北京市,2006,4.4232297,9.1486406,10.897861,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,2,1,23,1,1,17,1.125059,1.4909008,1.0607232,9.0297737,11778702,14335465,.51999998,27.639999,71.839996,-6.5700002,99.480003,6.5700002,80.326515,9812.4023,.99188024,-527.74524,64467.484,16.478247,.8216477
6,110000,北京市,2007,4.495986,9.2544594,10.992765,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,2,1,23,1,1,17,1.1222353,1.4786853,1.0601591,9.0152693,11907847,14421595,.5,26.459999,73.040001,-.02,99.5,.02,85.849411,10911.09,.99219334,-1.7169882,218.22179,16.484238,.82569557
7,110000,北京市,2008,4.5672503,9.3561277,11.083672,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,2,1,23,1,1,17,1.119418,1.4670641,1.0596095,9.0025444,12003953,14511200,.46000001,24.59,74.949997,-.039999999,99.540001,.039999999,97.144356,12398.918,.992226,-3.8857741,495.9567,16.490431,.82721984
8,110000,北京市,2009,4.6365471,9.4528189,11.169799,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,2,1,23,1,1,17,1.1166031,1.4560248,1.0590693,8.9868107,12116751,14604689,.51999998,23.440001,76.029999,.059999999,99.470001,-.07,103.65627,13835.818,.99256384,6.2193761,-968.50726,16.496853,.82964802
9,110000,北京市,2010,4.703423,9.5438776,11.250542,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,2,1,23,1,1,17,1.113795,1.4455637,1.0585423,8.9690752,12087508,14512027,.5,23.389999,76.110001,-.02,99.5,.029999999,114.33469,15736.007,.99278659,-2.2866936,472.0802,16.490488,.83293039
