v1,region_id,year,city_id,city,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v11,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted,lg101214,urban_population,total_population,nonagri_gdp,emp_agri,emp_ind,emp_ser,emp_agri_gr,emp_nonagri,emp_nonagri_gr,wtrend_lg_agri_predicted,wtrend_lg_nonagri_predicted,wtrend_lg_gdppc_predicted,wv1,wlg_nonagri_predicted,wlg_agri_predicted,wlg_gdppc_predicted,wlg_totalgdp_predicted,wlg101214,wurban_population,wtotal_population,wnonagri_gdp,wemp_agri,wemp_ind,wemp_ser,wemp_agri_gr,wemp_nonagri,wemp_nonagri_gr
0,0,2001,110000,北京市,4.0479922,8.59025,10.39499,302,110000,Beijing,8.5436325,4.0082402,10.353004,8.5542984,2,1,23,1,1,17,1.1398641,1.5618634,1.0635327,9.0482855,9585238,12167678,.98939079,11.31,34.330002,54.360001,-.49000001,88.690002,.38999999,3.8337202,6.4846778,9.6329622,114.625,6.4282374,3.8066139,9.583252,6.5639997,7.9320831,1376854.6,4564712,.87693572,2.1300001,47.4025,50.465,-.12,97.8675,.13
1,0,2002,110000,北京市,4.1236949,8.703207,10.496782,673,110000,Beijing,8.6032124,4.0895915,10.403508,8.6141119,2,1,23,1,1,17,1.1367551,1.5462554,1.0629635,9.0451679,9589720,12224170,.98915964,9.9499998,34.650002,55.400002,-1.36,90.050003,1.36,3.9078112,6.6053238,9.7430439,485.625,6.5168147,3.8723466,9.6630297,6.6455612,7.9396601,1369694.6,4587641.5,.88256782,2.0975001,48.334999,49.56625,-.032499999,97.901253,.033750001
2,0,2003,110000,北京市,4.1992979,8.8160467,10.598471,1044,110000,Beijing,8.6945238,4.1515942,10.464334,8.7051096,2,1,23,1,1,17,1.1337268,1.5313734,1.0624073,9.0389614,11372941,14036065,.98947006,8.9200001,32.099998,58.98,-1.03,91.080002,1.03,3.9818347,6.7258282,9.8530006,856.625,6.6275754,3.9361544,9.7462988,6.7540717,7.9553809,2111193.3,5304722,.88459516,2.0962501,48.96875,48.93,-.00125,97.89875,-.0024999999
3,0,2004,110000,北京市,4.2746172,8.9284039,10.699715,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,2,1,23,1,1,17,1.1307786,1.5172045,1.0618533,9.0357065,11579828,14170503,.98899364,7.1999998,27.26,65.540001,-1.72,92.800003,1.72,4.0556335,6.8458295,9.9625082,1227.625,6.7706532,4.0664544,9.9051657,6.894124,7.9479389,2180482,5357151,.88704348,1.865,49.983749,48.1525,-.23125,98.136253,.2375
4,0,2005,110000,北京市,4.3493485,9.039608,10.799843,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,2,1,23,1,1,17,1.1278995,1.5037297,1.0612912,9.0289965,11655225,14251875,.99085248,7.0900002,26.32,66.589996,-.11,92.910004,.11,4.1289382,6.9647193,10.070977,1598.625,6.9315605,4.1124058,10.043196,7.0414414,7.9593954,2202607,5386656.5,.8984744,1.4375,51.005001,47.555,-.42750001,98.559998,.42375001
5,0,2006,110000,北京市,4.4232297,9.1486406,10.897861,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,2,1,23,1,1,17,1.125059,1.4909008,1.0607232,9.0297737,11778702,14335465,.99188018,.51999998,27.639999,71.839996,-6.5700002,99.480003,6.5700002,4.2015042,7.0817018,10.177671,1969.625,7.1170616,4.161437,10.214745,7.2140617,7.9516792,2283491.3,5424768.5,.9095875,1.39625,50.901249,47.703751,-.041250002,98.605003,.045000002
6,0,2007,110000,北京市,4.495986,9.2544594,10.992765,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,2,1,23,1,1,17,1.1222353,1.4786853,1.0601591,9.0152693,11907847,14421595,.99219334,.5,26.459999,73.040001,-.02,99.5,.02,4.273047,7.1958976,10.281788,2340.625,7.219121,4.2473316,10.30329,7.3137326,7.9468799,2325608.8,5457462,.91165674,1.4037499,50.779999,47.81625,.0074999998,98.596252,-.00875
7,0,2008,110000,北京市,4.5672503,9.3561277,11.083672,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,2,1,23,1,1,17,1.119418,1.4670641,1.0596095,9.0025444,12003953,14511200,.99222648,.46000001,24.59,74.949997,-.039999999,99.540001,.039999999,4.3431811,7.3065171,10.382616,2711.625,7.3460774,4.3426719,10.420334,7.4403157,7.9480262,2350301,5492346.5,.91205376,1.3099999,50.522499,48.166248,-.09375,98.688751,.092500001
8,0,2009,110000,北京市,4.6365471,9.4528189,11.169799,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,2,1,23,1,1,17,1.1166031,1.4560248,1.0590693,8.9868107,12116751,14604689,.99256337,.51999998,23.440001,76.029999,.059999999,99.470001,-.07,4.4114575,7.4128275,10.479496,3082.625,7.4874568,4.4118266,10.560834,7.573596,7.943954,2370087,5528708,.91910988,1.20125,50.255001,48.544998,-.10875,98.800003,.11125
9,0,2010,110000,北京市,4.703423,9.5438776,11.250542,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,2,1,23,1,1,17,1.113795,1.4455637,1.0585423,8.9690752,12087508,14512027,.99278682,.5,23.389999,76.110001,-.02,99.5,.029999999,4.4774256,7.514195,10.571868,3453.625,7.6019526,4.5155315,10.648737,7.6865845,7.9488482,2377353,5489522,.92043144,1.05875,50.189999,48.75,-.1425,98.940002,.14
