id,county,finalclub_trend_lg_gdp_predicted
520502,七星关区,1
130708,万全区,1
469006,万宁市,1
520603,万山区,1
500101,万州区,1
350403,三元区,1
610422,三原县,1
510722,三台县,1
440607,三水区,1
331022,三门县,1
140404,上党区,1
330102,上城区,1
350823,上杭县,1
360322,上栗县,1
411722,上蔡县,1
330604,上虞区,1
360923,上高县,1
130706,下花园区,1
420204,下陆区,1
130403,丛台区,1
120110,东丽区,1
361003,东乡区,1
511011,东兴区,1
450681,东兴市,1
320981,东台市,1
511402,东坡区,1
110101,东城区,1
231002,东安区,1
420802,东宝区,1
350626,东山县,1
469007,东方市,1
371502,东昌府区,1
371728,东明县,1
320722,东海县,1
371102,东港区,1
360102,东湖区,1
150602,东胜区,1
441900,东莞市,1
370502,东营区,1
420112,东西湖区,1
330783,东阳市,1
230805,东风区,1
210202,中山区,1
442000,中山市,1
431221,中方县,1
510623,中江县,1
410122,中牟县,1
410803,中站区,1
130207,丰南区,1
320321,丰县,1
110106,丰台区,1
220211,丰满区,1
500230,丰都县,1
130522,临城县,1
330112,临安区,1
361002,临川区,1
330113,临平区,1
450312,临桂区,1
341221,临泉县,1
331082,临海市,1
370305,临淄区,1
610502,临渭区,1
430682,临湘市,1
610115,临潼区,1
430724,临澧县,1
411122,临颍县,1
469024,临高县,1
522636,丹寨县,1
321112,丹徒区,1
511424,丹棱县,1
321181,丹阳市,1
330782,义乌市,1
340706,义安区,1
411281,义马市,1
150626,乌审旗,1
650205,乌尔禾区,1
520112,乌当区,1
654202,乌苏市,1
650121,乌鲁木齐县,1
469027,乐东黎族自治县,1
130225,乐亭县,1
360281,乐平市,1
330382,乐清市,1
512022,乐至县,1
630202,乐都区,1
500107,九龙坡区,1
520330,习水县,1
220105,二道区,1
210114,于洪区,1
360731,于都县,1
140214,云冈区,1
331125,云和县,1
445303,云安区,1
140215,云州区,1
430603,云溪区,1
350622,云霄县,1
320303,云龙区,1
630223,互助土族自治县,1
659004,五家渠市,1
469001,五指山市,1
340322,五河县,1
511112,五通桥区,1
511124,井研县,1
130121,井陉县,1
130107,井陉矿区,1
321102,京口区,1
320902,亭湖区,1
510682,什邡市,1
440224,仁化县,1
511421,仁寿县,1
520382,仁怀市,1
440117,从化区,1
350104,仓山区,1
331024,仙居县,1
429004,仙桃市,1
350322,仙游县,1
321081,仪征市,1
511324,仪陇县,1
370811,任城区,1
130505,任泽区,1
654002,伊宁市,1
150627,伊金霍洛旗,1
420503,伍家岗区,1
330281,余姚市,1
520329,余庆县,1
330110,余杭区,1
360603,余江区,1
441821,佛冈县,1
469029,保亭黎族苗族自治县,1
361102,信州区,1
130503,信都区,1
520123,修文县,1
410312,偃师区,1
460400,儋州市,1
130132,元氏县,1
650203,克拉玛依区,1
360729,全南县,1
341124,全椒县,1
340405,八公山区,1
451102,八步区,1
220184,公主岭市,1
320116,六合区,1
520203,六枝特区,1
371302,兰山区,1
330781,兰溪市,1
410225,兰考县,1
371324,兰陵县,1
360482,共青城市,1
520424,关岭布依族苗族自治县,1
450924,兴业县,1
522301,兴义市,1
522302,兴仁市,1
321281,兴化市,1
450102,兴宁区,1
230405,兴安区,1
451302,兴宾区,1
610481,兴平市,1
511528,兴文县,1
211103,兴隆台区,1
410527,内黄县,1
371525,冠县,1
431381,冷水江市,1
431103,冷水滩区,1
150622,准格尔旗,1
340421,凤台县,1
610322,凤翔区,1
341126,凤阳县,1
451481,凭祥市,1
522601,凯里市,1
360521,分宜县,1
510802,利州区,1
230804,前进区,1
511603,前锋区,1
532931,剑川县,1
520326,务川仡佬族苗族自治县,1
610725,勉县,1
340111,包河区,1
440982,化州市,1
330206,北仑区,1
430511,北塔区,1
659005,北屯市,1
130304,北戴河区,1
431002,北湖区,1
500109,北碚区,1
120113,北辰区,1
210311,千山区,1
350629,华安县,1
420703,华容区,1
610503,华州区,1
621023,华池县,1
511681,华蓥市,1
410923,南乐县,1
220102,南关区,1
130506,南和区,1
350583,南安市,1
440305,南山区,1
230404,南山区,1
230103,南岗区,1
430412,南岳区,1
500108,南岸区,1
500119,南川区,1
120104,南开区,1
360121,南昌县,1
520102,南明区,1
440115,南沙区,1
330503,南浔区,1
330402,南湖区,1
511503,南溪区,1
440523,南澳县,1
341103,南谯区,1
610703,南郑区,1
340223,南陵县,1
440282,南雄市,1
350627,南靖县,1
652701,博乐市,1
371625,博兴县,1
340506,博望区,1
410822,博爱县,1
441322,博罗县,1
130324,卢龙县,1
370215,即墨区,1
370102,历下区,1
370112,历城区,1
410725,原阳县,1
211102,双台子区,1
211302,双塔区,1
431321,双峰县,1
130802,双桥区,1
510116,双流区,1
430502,双清区,1
130803,双滦区,1
220112,双阳区,1
511504,叙州区,1
130204,古冶区,1
530702,古城区,1
350922,古田县,1
321183,句容市,1
411104,召陵区,1
370405,台儿庄区,1
410927,台前县,1
451002,右江区,1
410422,叶县,1
341504,叶集区,1
500117,合川区,1
621024,合水县,1
360821,吉安县,1
360802,吉州区,1
652327,吉木萨尔县,1
460203,吉阳区,1
433101,吉首市,1
350212,同安区,1
511803,名山区,1
230402,向阳区,1
230803,向阳区,1
430611,君山区,1
340522,含山县,1
320681,启东市,1
320506,吴中区,1
330502,吴兴区,1
440883,吴川市,1
320509,吴江区,1
530114,呈贡区,1
350925,周宁县,1
370306,周村区,1
340523,和县,1
120101,和平区,1
421202,咸安区,1
320921,响水县,1
330421,嘉善县,1
310114,嘉定区,1
370829,嘉祥县,1
431024,嘉禾县,1
511304,嘉陵区,1
421221,嘉鱼县,1
441284,四会市,1
421121,团风县,1
340323,固镇县,1
659003,图木舒克市,1
370704,坊子区,1
440804,坡头区,1
