id,city,year,trend_lg_agri_predicted,trend_lg_nonagri_predicted,trend_lg_gdppc_predicted,v1,province_id,province,lg_nonagri_predicted,lg_agri_predicted,lg_gdppc_predicted,lg_totalgdp_predicted,club_trend_lg_gdppc_predicted,club_trend_lg_nonagri_predicted,club_trend_lg_agri_predicted,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted,re_trend_lg_gdppc_predicted,re_trend_lg_nonagri_predicted,re_trend_lg_agri_predicted
110000,北京市,2001,4.0479922,8.59025,10.39499,302,110000,Beijing,8.5436325,4.0082402,10.353004,8.5542984,2,1,23,1,1,17,1.1398641,1.5618634,1.0635327
110000,北京市,2002,4.1236949,8.703207,10.496782,673,110000,Beijing,8.6032124,4.0895915,10.403508,8.6141119,2,1,23,1,1,17,1.1367551,1.5462554,1.0629635
110000,北京市,2003,4.1992979,8.8160467,10.598471,1044,110000,Beijing,8.6945238,4.1515942,10.464334,8.7051096,2,1,23,1,1,17,1.1337268,1.5313734,1.0624073
110000,北京市,2004,4.2746172,8.9284039,10.699715,1415,110000,Beijing,8.7894506,4.291225,10.571342,8.800518,2,1,23,1,1,17,1.1307786,1.5172045,1.0618533
110000,北京市,2005,4.3493485,9.039608,10.799843,1786,110000,Beijing,9.0295868,4.3445344,10.797304,9.0387764,2,1,23,1,1,17,1.1278995,1.5037297,1.0612912
110000,北京市,2006,4.4232297,9.1486406,10.897861,2157,110000,Beijing,9.1914024,4.3860998,10.943153,9.1995554,2,1,23,1,1,17,1.125059,1.4909008,1.0607232
110000,北京市,2007,4.495986,9.2544594,10.992765,2528,110000,Beijing,9.2975349,4.4525948,11.035969,9.3053722,2,1,23,1,1,17,1.1222353,1.4786853,1.0601591
110000,北京市,2008,4.5672503,9.3561277,11.083672,2899,110000,Beijing,9.4253645,4.5761981,11.153507,9.4331684,2,1,23,1,1,17,1.119418,1.4670641,1.0596095
110000,北京市,2009,4.6365471,9.4528189,11.169799,3270,110000,Beijing,9.5350161,4.6410804,11.259397,9.5424805,2,1,23,1,1,17,1.1166031,1.4560248,1.0590693
110000,北京市,2010,4.703423,9.5438776,11.250542,3641,110000,Beijing,9.6637068,4.73913,11.362788,9.6709461,2,1,23,1,1,17,1.113795,1.4455637,1.0585423
110000,北京市,2011,4.7674356,9.6288528,11.325521,4012,110000,Beijing,9.7998686,4.8496084,11.490576,9.8069248,2,1,23,1,1,17,1.1110072,1.4356868,1.0580336
110000,北京市,2012,4.8282328,9.7075949,11.394634,4383,110000,Beijing,9.9003162,4.944128,11.583091,9.9073315,2,1,23,1,1,17,1.1082554,1.4263921,1.0575458
110000,北京市,2013,4.8856668,9.7803831,11.458195,4754,110000,Beijing,9.8152924,4.9917622,11.477465,9.8232985,2,1,23,1,1,17,1.1055613,1.4176701,1.0570811
110000,北京市,2014,4.9398799,9.8479748,11.516986,5125,110000,Beijing,9.871994,4.984848,11.536798,9.879509,2,1,23,1,1,17,1.1029565,1.4095111,1.0566415
110000,北京市,2015,4.9912801,9.9112167,11.57184,5496,110000,Beijing,9.9071741,5.0353055,11.561064,9.9148035,2,1,23,1,1,17,1.1004498,1.4018651,1.0562278
