id,re_gdppc2001,re_nonagri2001,re_agri2001,re_gdppc2002,re_nonagri2002,re_agri2002,re_gdppc2003,re_nonagri2003,re_agri2003,re_gdppc2004,re_nonagri2004,re_agri2004,re_gdppc2005,re_nonagri2005,re_agri2005,re_gdppc2006,re_nonagri2006,re_agri2006,re_gdppc2007,re_nonagri2007,re_agri2007,re_gdppc2008,re_nonagri2008,re_agri2008,re_gdppc2009,re_nonagri2009,re_agri2009,re_gdppc2010,re_nonagri2010,re_agri2010,re_gdppc2011,re_nonagri2011,re_agri2011,re_gdppc2012,re_nonagri2012,re_agri2012,re_gdppc2013,re_nonagri2013,re_agri2013,re_gdppc2014,re_nonagri2014,re_agri2014,re_gdppc2015,re_nonagri2015,re_agri2015,re_gdppc2016,re_nonagri2016,re_agri2016,re_gdppc2017,re_nonagri2017,re_agri2017,re_gdppc2018,re_nonagri2018,re_agri2018,re_gdppc2019,re_nonagri2019,re_agri2019,re_gdppc2020,re_nonagri2020,re_agri2020,city,province_id,fclub_trend_lg_gdppc_predicted,fclub_trend_lg_nonagri_predicted,fclub_trend_lg_agri_predicted
110000,1.1398641,1.5618634,1.0635327,1.1367551,1.5462554,1.0629635,1.1337268,1.5313734,1.0624073,1.1307786,1.5172045,1.0618533,1.1278995,1.5037297,1.0612912,1.125059,1.4909008,1.0607232,1.1222353,1.4786853,1.0601591,1.119418,1.4670641,1.0596095,1.1166031,1.4560248,1.0590693,1.113795,1.4455637,1.0585423,1.1110072,1.4356868,1.0580336,1.1082554,1.4263921,1.0575458,1.1055613,1.4176701,1.0570811,1.1029565,1.4095111,1.0566415,1.1004498,1.4018651,1.0562278,1.0980345,1.3946576,1.0558316,1.0956974,1.387808,1.0554451,1.0934259,1.3812444,1.0550649,1.0912058,1.3748999,1.05469,1.0890217,1.3687137,1.0543228,北京市,110000,1,1,17
120000,1.1148134,1.4493884,1.1069053,1.1127167,1.4373716,1.1053035,1.1106809,1.4259244,1.1037605,1.1087129,1.4150469,1.1022663,1.1068076,1.4047283,1.1008066,1.1049387,1.3949245,1.0993824,1.1030807,1.3855951,1.0979995,1.1012201,1.3767151,1.096666,1.0993537,1.3682712,1.0953839,1.097487,1.3602616,1.0941585,1.0956331,1.3526924,1.0929987,1.093805,1.3455611,1.0919092,1.0920175,1.3388548,1.0908924,1.0902874,1.332554,1.0899497,1.0886197,1.3266156,1.0890759,1.0870117,1.3209841,1.0882548,1.0854566,1.3156034,1.0874704,1.0839463,1.3104227,1.0867108,1.0824718,1.3053989,1.0859678,1.0810218,1.3004949,1.0852402,天津市,120000,2,1,14
130100,1.0332617,1.2657958,1.3583633,1.0320407,1.2578119,1.3517606,1.0308478,1.2501969,1.3454062,1.0296845,1.2429492,1.3392904,1.0285441,1.2360591,1.3334125,1.0274143,1.2295058,1.327785,1.026293,1.223284,1.32242,1.0251821,1.2173933,1.3173307,1.0240885,1.2118382,1.3125201,1.0230253,1.2066324,1.3080002,1.0219996,1.2017798,1.3037807,1.0210223,1.1972828,1.29986,1.0201035,1.1931345,1.29623,1.0192553,1.189324,1.2928694,1.0184762,1.1858156,1.2897441,1.0177612,1.1825656,1.2868099,1.0171005,1.1795257,1.2840214,1.0164798,1.1766467,1.2813402,1.0158852,1.1738822,1.2787355,1.0153031,1.1711913,1.2761919,石家庄市,130000,3,2,
130200,1.0705394,1.2826629,1.3862996,1.0698835,1.2758139,1.3791983,1.0692415,1.2692826,1.3723651,1.0686053,1.2630532,1.3657913,1.0679576,1.2571019,1.3594708,1.0672765,1.2513944,1.3534091,1.066541,1.2458991,1.3476161,1.0657384,1.2405961,1.3421078,1.0648648,1.2354754,1.3368948,1.0639133,1.230525,1.3319924,1.0628941,1.2257543,1.3274168,1.0618236,1.221175,1.3231748,1.0607178,1.2167908,1.3192592,1.0595942,1.2125993,1.3156494,1.0584636,1.2085847,1.3123076,1.0573347,1.2047248,1.3091841,1.0562131,1.2009966,1.3062261,1.0551044,1.1973816,1.3033828,1.0540134,1.1938649,1.3006166,1.0529381,1.1904293,1.2979084,唐山市,130000,2,2,
130300,1.035048,1.0211055,1.0549291,1.0342653,1.0194073,1.0539519,1.0334995,1.017789,1.0530118,1.0327377,1.0162315,1.0521041,1.0319605,1.0147054,1.0512197,1.0311402,1.0131636,1.0503584,1.0302418,1.0115496,1.0495224,1.0292443,1.0098293,1.0487132,1.0281339,1.0079802,1.047929,1.0269037,1.005993,1.0471742,1.0255647,1.0038838,1.0464534,1.0241351,1.0016797,1.0457689,1.0226458,.99942321,1.0451224,1.0211364,.99716866,1.044517,1.0196325,.99494916,1.0439534,1.0181477,.99278086,1.0434247,1.0166863,.99066716,1.0429238,1.015246,.98860294,1.0424415,1.0138253,.98658413,1.041971,1.0124228,.98460698,1.0415094,秦皇岛市,130000,3,3,19
130400,.98626423,1.1736791,1.2785542,.9859699,1.1683288,1.273455,.98567718,1.1632222,1.2685442,.98538536,1.1583581,1.2638085,.9850722,1.1537068,1.2592487,.98471212,1.1492308,1.2548771,.98428226,1.1448982,1.2507082,.98377085,1.1406931,1.2467582,.9831692,1.1366029,1.2430335,.98247772,1.1326281,1.2395444,.98170716,1.1287833,1.2362987,.98087311,1.1250836,1.2332972,.97999531,1.121542,1.2305336,.979096,1.1181692,1.2279929,.97819197,1.114962,1.2256424,.97729963,1.1119139,1.2234443,.97643024,1.1090121,1.2213594,.97558695,1.1062357,1.2193563,.97476768,1.1035595,1.2174106,.97396493,1.1009543,1.2155104,邯郸市,130000,3,2,4
130500,.95807505,1.0603132,1.194703,.95823872,1.0577675,1.1912185,.95839959,1.055347,1.1878645,.95856547,1.0530649,1.1846329,.95872563,1.0509079,1.1815251,.95887107,1.0488607,1.1785541,.95899564,1.0469129,1.1757312,.95909989,1.0450646,1.1730673,.95918143,1.043311,1.1705606,.95923585,1.0416456,1.1682135,.95926273,1.0400686,1.1660266,.95927012,1.0385884,1.1639985,.95927525,1.0372224,1.1621222,.95930618,1.0359988,1.160387,.959378,1.0349244,1.1587751,.95949769,1.0339921,1.1572648,.95966184,1.0331808,1.1558316,.95985931,1.0324613,1.1544576,.9600774,1.0318029,1.1531271,.96030128,1.0311747,1.1518313,邢台市,130000,3,3,8
130600,.97401631,1.1682987,1.3183511,.97350538,1.1625419,1.3126037,.97301096,1.157061,1.3070718,.97254235,1.1518687,1.301746,.97209078,1.1469532,1.2966225,.97164816,1.1423007,1.2917105,.97120893,1.1379019,1.2870221,.97077489,1.1337576,1.2825716,.97035557,1.1298782,1.278362,.96995926,1.126273,1.2744057,.96959537,1.1229514,1.2707127,.96928006,1.1199265,1.2672831,.96903473,1.1172119,1.2641098,.96887869,1.1148117,1.2611754,.96881479,1.112702,1.2584494,.96883506,1.1108418,1.2558911,.96892095,1.1091768,1.2534591,.96905077,1.1076525,1.2511172,.96920627,1.1062218,1.248839,.96937042,1.1048431,1.2466118,保定市,130000,3,2,2
130700,.97328961,1.003086,1.0999537,.9731335,1.001778,1.0984997,.9729839,1.0005394,1.0970939,.97284538,.9993791,1.0957266,.97270721,.99828124,1.0943944,.97255331,.99721855,1.0931007,.97236556,.99616051,1.091855,.97211689,.99506581,1.0906723,.97178078,.99389422,1.0895559,.97133064,.99260932,1.0885148,.97075963,.99120438,1.0875518,.97007793,.98969561,1.0866673,.96930569,.98811209,1.0858577,.96848404,.98650998,1.085115,.96764225,.98492634,1.0844319,.96679777,.98337948,1.083797,.96595955,.98187548,1.0831958,.96513176,.98041415,1.0826174,.96431655,.97899228,1.0820545,.96351254,.9776026,1.081502,张家口市,130000,3,3,14
130800,.97049451,.96583915,1.1003199,.97099894,.96698475,1.0986953,.97149783,.96809167,1.097128,.97199655,.96917081,1.0956111,.9724921,.97021836,1.0941399,.9729749,.97121966,1.0927145,.97343272,.9721548,1.0913403,.97383964,.97298223,1.0900265,.97416902,.97366154,1.0887746,.97439134,.97415084,1.0875894,.97449553,.97443962,1.0864748,.97448158,.97453326,1.0854301,.97436267,.9744584,1.0844526,.97416675,.9742614,1.0835373,.97391534,.97397882,1.0826771,.97362709,.97364175,1.0818615,.97332001,.97327852,1.0810782,.97300613,.97290844,1.0803173,.9726935,.97254288,1.0795736,.97238421,.97218394,1.0788438,承德市,130000,3,3,16
