id,re_trend_lg_gdp_predicted2001,re_trend_lg_gdp_predicted2002,re_trend_lg_gdp_predicted2003,re_trend_lg_gdp_predicted2004,re_trend_lg_gdp_predicted2005,re_trend_lg_gdp_predicted2006,re_trend_lg_gdp_predicted2007,re_trend_lg_gdp_predicted2008,re_trend_lg_gdp_predicted2009,re_trend_lg_gdp_predicted2010,re_trend_lg_gdp_predicted2011,re_trend_lg_gdp_predicted2012,re_trend_lg_gdp_predicted2013,re_trend_lg_gdp_predicted2014,re_trend_lg_gdp_predicted2015,re_trend_lg_gdp_predicted2016,re_trend_lg_gdp_predicted2017,re_trend_lg_gdp_predicted2018,re_trend_lg_gdp_predicted2019,re_trend_lg_gdp_predicted2020,county,finalclub_trend_lg_gdp_predicted
110101,1.4525673,1.4440107,1.4355987,1.4273598,1.4193023,1.411339,1.403412,1.3954824,1.3875231,1.3795367,1.3715434,1.3635403,1.3555439,1.3476263,1.3398134,1.3321048,1.3244939,1.3169903,1.3095938,1.3022959,东城区,1
110102,1.448498,1.4400021,1.4316485,1.4234672,1.4154582,1.4074897,1.3994821,1.3914046,1.3832531,1.3750561,1.3668644,1.3586785,1.3505285,1.3424923,1.3345953,1.3268336,1.3191968,1.3116879,1.3042966,1.2970061,西城区,1
110105,1.4320533,1.4247867,1.4176085,1.4104962,1.4033891,1.3961315,1.3886033,1.3807312,1.3724834,1.3638806,1.3549908,1.345888,1.336673,1.3274986,1.3184409,1.3095272,1.3007623,1.2921504,1.2836804,1.2753309,朝阳区,1
110106,1.4090369,1.401998,1.3950486,1.3881767,1.3813248,1.3743508,1.3671501,1.3596753,1.3519125,1.3438883,1.3356619,1.3273048,1.3189076,1.310604,1.3024484,1.2944514,1.2866046,1.2789044,1.2713356,1.2638744,丰台区,1
110107,1.4008518,1.393695,1.3866299,1.3796349,1.3726478,1.3655274,1.3581762,1.3505456,1.3426293,1.3344679,1.3261325,1.3176999,1.3092713,1.3009753,1.292866,1.2849492,1.2772186,1.2696714,1.2622836,1.2550131,石景山区,1
110108,1.402846,1.3950515,1.3873668,1.3797908,1.3722922,1.3647528,1.357096,1.3492833,1.3412968,1.3331525,1.3248883,1.3165522,1.3082093,1.2999786,1.2919042,1.2839886,1.2762227,1.2686074,1.2611289,1.2537599,海淀区,1
110109,1.1529914,1.1518512,1.1506977,1.1494648,1.1480002,1.1461499,1.1438075,1.1409563,1.1376332,1.1338885,1.1297476,1.1253229,1.1207452,1.1161849,1.111744,1.1074628,1.10334,1.0993646,1.0955058,1.0917178,门头沟区,2
110111,1.1936322,1.1913652,1.18914,1.1869566,1.1847609,1.1824895,1.1800965,1.177577,1.1749548,1.1722386,1.169403,1.1664487,1.1634012,1.1603177,1.1572254,1.1541394,1.1510665,1.1480227,1.1450183,1.1420528,房山区,1
110112,1.2979391,1.2957655,1.2935958,1.2913871,1.2890728,1.2865164,1.2835717,1.2801352,1.2761524,1.2716186,1.2665958,1.2611805,1.2555093,1.2497565,1.244019,1.238345,1.2327558,1.2272631,1.2218653,1.2165453,通州区,1
110113,1.2879611,1.2859319,1.2839378,1.2819568,1.2799395,1.2777666,1.2753261,1.2725259,1.2692765,1.2655458,1.2613565,1.2567713,1.251892,1.2468851,1.2418457,1.2368203,1.2318367,1.2269205,1.2220789,1.2173034,顺义区,1
110114,1.2786846,1.2740546,1.2694831,1.2649505,1.2604151,1.2557669,1.2509176,1.2458078,1.240392,1.2346652,1.2286438,1.2223866,1.2159793,1.2095714,1.2032382,1.1970067,1.1908799,1.1848623,1.1789453,1.1731111,昌平区,1
110115,1.2883246,1.2855461,1.2827692,1.2799474,1.2770017,1.2738166,1.2702936,1.2663954,1.262122,1.257498,1.2525781,1.2474451,1.2422079,1.2370048,1.2319092,1.22695,1.2221297,1.2174457,1.2128804,1.2084016,大兴区,1
110116,1.159798,1.1565516,1.1533673,1.1502495,1.1471626,1.1440512,1.1408564,1.137532,1.1340258,1.130308,1.126354,1.122174,1.1178359,1.1134691,1.1091342,1.1048548,1.1006386,1.0964872,1.0924019,1.0883747,怀柔区,2
110117,1.171085,1.1673921,1.1636983,1.1599736,1.1562334,1.1525387,1.1489557,1.1455016,1.1421499,1.1388612,1.1356682,1.1326576,1.1298822,1.1273911,1.1251878,1.1232417,1.1214992,1.1199024,1.1184006,1.1169447,平谷区,1
110118,1.1551187,1.1495879,1.1441181,1.138726,1.1334509,1.1283369,1.1234111,1.1186955,1.1141927,1.1098909,1.1057996,1.1019405,1.0983413,1.0950336,1.0919936,1.089172,1.0865148,1.0839746,1.0815151,1.0791006,密云区,2
110119,1.1261156,1.118722,1.1114744,1.1044741,1.0978253,1.0915993,1.0858611,1.0806632,1.0760323,1.0719655,1.0684801,1.0656202,1.0634068,1.061875,1.061009,1.0607404,1.0609696,1.0615739,1.0624074,1.0633104,延庆区,1
120101,1.4548213,1.4480344,1.4413812,1.4349191,1.428699,1.4226615,1.4167546,1.4109299,1.405139,1.3993393,1.3934944,1.3875377,1.3814504,1.3752939,1.3690977,1.3628762,1.3566475,1.3504429,1.344291,1.3382069,和平区,1
120102,1.4537344,1.4458545,1.4381052,1.4305058,1.4230384,1.4155623,1.4079673,1.4001815,1.3921684,1.3839319,1.3755018,1.3669076,1.3582129,1.3495442,1.3409611,1.3324834,1.3241175,1.3158734,1.3077501,1.2997388,河东区,1
120103,1.4481956,1.4399306,1.4318064,1.4238608,1.4161115,1.4084513,1.4007788,1.3930435,1.3852286,1.3773639,1.3695035,1.361697,1.3540053,1.3464977,1.3391821,1.3320371,1.3250407,1.3181826,1.3114449,1.3048064,河西区,1
120104,1.4496602,1.4411277,1.4327403,1.4245304,1.4165078,1.4085797,1.400691,1.3928326,1.3850147,1.377261,1.3695996,1.3620409,1.354618,1.3473725,1.3403019,1.3333842,1.3265986,1.3199339,1.3133764,1.3069113,南开区,1
120105,1.452772,1.44424,1.4358543,1.427655,1.4196488,1.4117157,1.4037592,1.3957156,1.3875465,1.3792524,1.370864,1.3624177,1.3539652,1.3455986,1.3373531,1.3292352,1.3212401,1.3133692,1.3056151,1.297966,河北区,1
120106,1.4415827,1.4335057,1.4255869,1.4178998,1.4104892,1.4032602,1.396137,1.3890685,1.3820106,1.374943,1.3678575,1.3607298,1.3535618,1.3464162,1.3393239,1.3322973,1.3253449,1.3184855,1.3117269,1.3050613,红桥区,1
120110,1.3262408,1.3248044,1.323401,1.3220168,1.3205975,1.3189794,1.3169731,1.314451,1.311352,1.3076912,1.3035388,1.2989815,1.2941327,1.2891361,1.2840735,1.2789947,1.2739342,1.2689202,1.2639686,1.2590804,东丽区,1
120111,1.309523,1.3073882,1.3052779,1.3031638,1.3009636,1.2985635,1.2958488,1.2927788,1.289356,1.28562,1.281642,1.2774992,1.273261,1.2689861,1.2647067,1.2604457,1.2562255,1.2520627,1.2479645,1.2439233,西青区,1
120112,1.2897421,1.2901289,1.290511,1.2908286,1.2909819,1.2908354,1.2902187,1.2889788,1.2870183,1.2843113,1.2809176,1.2769555,1.2725807,1.2679539,1.2631906,1.2583749,1.2535652,1.2487971,1.2440889,1.2394418,津南区,1
120113,1.3323665,1.3275015,1.3226931,1.3179222,1.3131452,1.3082399,1.3030879,1.2976238,1.29184,1.2857753,1.279477,1.2730045,1.2664137,1.2598166,1.2532728,1.2468176,1.2404714,1.2342448,1.2281348,1.2221202,北辰区,1
120114,1.2015862,1.2002969,1.1990185,1.1977348,1.1964077,1.1949922,1.1934414,1.1917477,1.1899356,1.1880268,1.1860148,1.1839198,1.1817659,1.1796087,1.17747,1.175356,1.1732724,1.171227,1.1692252,1.1672592,武清区,1
120115,1.1339,1.1343166,1.1347106,1.1350985,1.135488,1.1358716,1.1362094,1.1364244,1.1364337,1.1361828,1.1356941,1.1350515,1.1343488,1.1336654,1.1330426,1.1324846,1.1319792,1.1315079,1.1310629,1.1306298,宝坻区,1
120116,1.2729483,1.2699199,1.2669603,1.2640979,1.2613256,1.2585495,1.2556897,1.2527078,1.2495909,1.2463551,1.2430395,1.2396843,1.2363409,1.233093,1.2299908,1.2270617,1.2243135,1.2217352,1.2192891,1.2169048,滨海新区,1
120117,1.1371778,1.1355491,1.1339674,1.1324764,1.1311311,1.1299611,1.1289951,1.1282502,1.1277282,1.1274171,1.127291,1.1273285,1.1274899,1.127744,1.1280508,1.1283816,1.1287129,1.1290317,1.1293406,1.1296434,宁河区,1
120118,1.1478379,1.1501091,1.1523457,1.1545119,1.156503,1.1582087,1.1595339,1.1604284,1.1609014,1.1609979,1.1607622,1.1602429,1.1594841,1.1585206,1.1573833,1.1561104,1.15474,1.1533085,1.1518551,1.1504056,静海区,1
120119,1.1321415,1.1318219,1.1314775,1.1310662,1.1305168,1.1297826,1.1288123,1.1275898,1.1261237,1.1244245,1.1225419,1.1205695,1.1186193,1.1167653,1.1150353,1.1134242,1.1119167,1.110494,1.1091299,1.1077956,蓟州区,1
130102,1.3636904,1.3561268,1.3486693,1.3413115,1.3340337,1.3267381,1.3193791,1.3119651,1.3045444,1.297201,1.2899836,1.2829332,1.2760708,1.2694676,1.2631246,1.257019,1.2511169,1.2453822,1.2397727,1.2342499,长安区,1
130104,1.4024926,1.3963768,1.3903024,1.3842484,1.3781724,1.3719493,1.3654962,1.3587874,1.351845,1.3447485,1.3375661,1.3303742,1.3232349,1.3162243,1.3093611,1.3026412,1.2960593,1.2896111,1.28328,1.2770395,桥西区,1
130105,1.3680154,1.3601406,1.3523511,1.3446467,1.3370235,1.3294111,1.3217636,1.3140621,1.3063167,1.2985864,1.2909162,1.2833618,1.2759589,1.2687701,1.2617913,1.2549986,1.2483652,1.241873,1.2355018,1.2292241,新华区,1
130107,1.1778141,1.1781377,1.1784056,1.1785641,1.1784474,1.1779723,1.1771851,1.1761192,1.1748234,1.1733004,1.1715165,1.1695404,1.1673948,1.1651293,1.1627772,1.1603879,1.1580027,1.1556526,1.1533527,1.1511018,井陉矿区,1
130108,1.3514725,1.3483309,1.3451917,1.342015,1.3387408,1.3352958,1.3316237,1.3276986,1.3235267,1.3191729,1.314678,1.3100781,1.3054314,1.3008178,1.2962651,1.291783,1.2873735,1.2830377,1.2787702,1.2745587,裕华区,1
130109,1.0261903,1.0270681,1.0279505,1.028856,1.0298146,1.0309185,1.0322469,1.0338097,1.0355926,1.0375862,1.0397832,1.0421491,1.0446521,1.0472615,1.0499378,1.0526563,1.0553925,1.0581224,1.0608351,1.0635161,藁城区,1
130110,1.0630457,1.0639038,1.0647564,1.0656099,1.0664072,1.0670868,1.0676183,1.0679332,1.0679579,1.0676249,1.0668837,1.0657711,1.0643693,1.0627731,1.0610464,1.0592513,1.0574347,1.0556232,1.0538297,1.0520557,鹿泉区,1
130111,1.0125577,1.0161617,1.0197462,1.0233055,1.0267426,1.030017,1.0331124,1.0360141,1.0387094,1.0411636,1.0433764,1.0454024,1.047315,1.0491607,1.0509497,1.0527085,1.0544586,1.0562057,1.0579455,1.0596666,栾城区,1
130121,0.99359584,0.99608243,0.99857575,1.0011144,1.0036707,1.0062659,1.0089284,1.0116367,1.0143698,1.0170292,1.0195215,1.0217775,1.0237266,1.0253454,1.0266379,1.027656,1.0284625,1.0291255,1.0297136,1.0302696,井陉县,1
130123,1.0092471,1.0091662,1.0091206,1.0091794,1.0093164,1.0095611,1.0099995,1.0106567,1.0115758,1.0128022,1.0143776,1.0163791,1.0188316,1.0217451,1.0250682,1.0287297,1.0326355,1.0366684,1.0407251,1.0447391,正定县,1
130125,0.97754812,0.97366154,0.96988595,0.96637517,0.96331501,0.96088564,0.95919001,0.95821714,0.95785511,0.95790881,0.95821011,0.95869261,0.95934975,0.96015465,0.96107906,0.96211421,0.96322858,0.96438557,0.96556121,0.96672493,行唐县,2
